shares,RowID
1205.4614862714288,32001
1949.5369425991735,32002
3699.1647004695633,32003
2331.6626462642016,32004
1710.2896696535154,32005
1808.7276891029273,32006
1513.9101316554895,32007
1896.213565195757,32008
2080.602624741251,32009
1284.1049603667377,32010
1560.7621757048676,32011
2389.4266382540436,32012
1783.7665353229718,32013
2093.1163883327877,32014
1039.452427725625,32015
3921.389366522515,32016
1410.3886364390717,32017
1906.525918823653,32018
1882.935655298937,32019
795.2796599723993,32020
2415.6012789592755,32021
2407.767260384329,32022
2349.4178527049667,32023
2216.7131028217764,32024
2257.38849626289,32025
4950.450145986421,32026
2214.862801059117,32027
2735.534789687899,32028
2009.323825094839,32029
1598.3275780068327,32030
3741.8808538312223,32031
3814.0201650900954,32032
4110.3672830441255,32033
4483.771509251361,32034
1704.1639651217238,32035
4507.827924076357,32036
3587.3957042093366,32037
2232.1513820865703,32038
1871.5396025056268,32039
1588.7010978568658,32040
2099.6387480880903,32041
2010.944691005218,32042
4065.0490223994993,32043
2727.9501849294447,32044
5576.538677490665,32045
2647.9034210925747,32046
3073.0358014367725,32047
1427.1279487979982,32048
8974.996355322815,32049
1860.2374208542099,32050
2229.3380374739463,32051
1429.8651458034788,32052
6505.1920950834465,32053
4342.25795441442,32054
3317.752156156323,32055
1505.4013345405958,32056
4192.285936234966,32057
2565.865296901924,32058
3435.8920476104176,32059
3837.326514256586,32060
7636.086020786523,32061
3217.5983446757314,32062
5417.338250176059,32063
8605.998008042812,32064
3954.652729276806,32065
3432.1833147475522,32066
5560.063530145114,32067
5893.4044494722875,32068
2492.4470063368626,32069
2601.5431778005786,32070
3449.466837113484,32071
1705.4968588218187,32072
2000.5539241622316,32073
2115.201320386122,32074
5363.724815528319,32075
1436.0344766195954,32076
7218.51896477726,32077
2451.116077597238,32078
2799.637455654117,32079
2859.9185807608833,32080
1198.4934334083503,32081
2050.233106918323,32082
1904.7829412529618,32083
1344.0409802125894,32084
1881.8036061607208,32085
2860.901723673702,32086
6879.1833684432095,32087
3189.2190958329247,32088
2420.3055164509365,32089
2718.197683231213,32090
2708.569107470411,32091
2353.7684322269824,32092
1545.171581202334,32093
3883.8763305314005,32094
907.5159039304333,32095
5699.877839172209,32096
8165.801857289439,32097
2631.4615789538943,32098
2769.1751640525113,32099
2813.7184513063316,32100
2407.1761685734987,32101
3171.950121257145,32102
2282.904047280074,32103
6043.434989423696,32104
2446.8277975120623,32105
1463.5979638525469,32106
1272.7543136513746,32107
1917.064882009555,32108
5070.500713434487,32109
1636.842599730663,32110
557.2974145259054,32111
2100.251036403195,32112
1040.505878881583,32113
4654.100471316987,32114
1254.0949639909952,32115
4937.477946664948,32116
3627.5978634249377,32117
